Opening Price,Closing Price,Trade Action
158.65054547363894,151.06465975232865,Buy
163.08821640144112,172.4889942218174,Sell
181.53075591333632,179.20032671986817,Buy
178.60257306855004,159.40084246642908,Buy
175.1658172595673,172.12054629429946,Sell
175.34820554096444,163.89489427888094,Buy
172.55312253253885,188.0200922358233,Sell
163.0768498437069,182.52515146588354,Buy
159.76752842202418,144.74898751548167,Buy
166.36210106059926,180.9632387582621,Sell
168.32131004305452,166.24117504703108,Sell
170.25401287332411,186.8025101041531,Sell
170.3174175852175,163.95984185592846,Sell
159.74289254242439,188.5435493361319,Buy
167.2440035650361,180.56274382661627,Buy
173.6722930110935,183.92666683359676,Buy
158.2640933612329,173.67067233297448,Buy
188.81644683464026,207.70238074139115,Sell
170.48961218132214,183.5690619288088,Sell
155.9128567827175,180.64433692769853,Sell
165.25362990640758,170.76320157847837,Buy
183.49897059018497,164.30115277824433,Sell
178.48493633592796,182.34826187507952,Buy
184.5399073952439,171.69236590612607,Buy
185.44332932249256,182.27688328154898,Buy
161.04240087520446,171.32638567516804,Buy
160.49961609253688,169.34823392039854,Sell
155.5497173539678,188.95936335925848,Buy
175.7635168716993,165.5214202794576,Buy
166.89755675002436,168.3557356905113,Buy
166.06295039551392,184.95614819195632,Buy
157.53144683977928,186.70123675156702,Buy
167.5190731998232,168.17467482291002,Buy
166.62383364493317,167.8403867553238,Buy
163.5232989209552,191.61815067969718,Buy
188.13323463568594,163.99892476877847,Sell
167.19213586158043,174.93407003582894,Buy
175.098670111479,159.99853552968705,Sell
149.2311430984265,164.87248163138952,Sell
183.75260047295154,170.95372850592736,Buy
191.8567660471899,131.64837985538355,Buy
170.38709939580235,171.28443888607413,Buy
182.50095992510157,180.6325773598587,Sell
178.96797505710217,189.0561542298016,Sell
179.4740789510921,194.76229915255007,Sell
177.89819333098617,182.16702131453698,Buy
161.45439690603035,202.31339659715036,Sell
178.68002597914904,202.38932329536422,Sell
174.93195103618532,178.14018054095942,Sell
167.69028118554746,210.68079341214346,Sell
176.69883174023423,186.9035529089284,Sell
162.41736246111955,182.05135924360957,Sell
164.15884956457467,174.11600782627517,Buy
182.45598533874193,144.83581007779478,Buy
169.93199802734443,151.71235598162485,Buy
168.09040647405135,152.03863091441266,Sell
180.31736913936993,185.72928119952383,Sell
170.72857934134146,144.3535696565569,Sell
164.52890724693916,161.7097049899301,Sell
144.39908754931997,183.93898549826415,Buy
154.43726930336476,169.4415619540096,Buy
174.79609316173605,175.34638534963074,Buy
169.86845389050464,142.94540813392535,Sell
165.0240071759861,186.61001546052188,Buy
155.35820959276353,174.7594805244578,Buy
174.83411685036933,180.7653191050267,Buy
198.36671831782135,160.08915633196335,Sell
168.89602428136556,178.495724188202,Sell
162.98007060326077,167.41924968486222,Sell
164.19794660627147,168.8098750529457,Buy
163.93009093850822,169.09413467344226,Sell
175.37953609355736,188.80197352112208,Buy
205.44249341217886,180.88842445446204,Sell
170.8435232152715,159.4877086968552,Buy
149.65417141488177,178.9239837124348,Buy
192.4370746441286,171.87976445493933,Sell
175.81156901678776,202.0800833238738,Sell
189.11253667381047,178.7350591209032,Sell
164.04168583155382,189.73169892901814,Sell
170.67304522750317,180.64308912113583,Buy
163.34255591257616,192.86141594256884,Buy
173.21675500841613,183.28192205356285,Buy
192.82314200170003,180.804808074378,Buy
155.27118089755214,172.2231773885407,Sell
180.9872933276586,175.15538280471802,Sell
176.41642624559816,174.00485899174873,Sell
159.37891701277388,189.469812174634,Buy
149.8781778780465,196.38351570747733,Sell
175.4025808571896,155.03042037344198,Buy
162.35280579489785,167.9004240817981,Sell
173.6679182512357,214.1490773899904,Buy
173.65935041219228,179.27492636975106,Sell
176.4384451366785,168.242814933469,Buy
168.95719614571883,186.5768844255944,Buy
164.74423832855553,175.0469908091982,Buy
160.2008769010821,187.6267965549452,Sell
174.48703404375524,161.79002039055388,Buy
169.571296182754,187.74515790113603,Buy
162.43572978763473,193.45909857765508,Buy
162.8123646501532,188.3912051991483,Buy
182.87083032012166,176.3767455375056,Buy
170.2267557731125,199.64324274072916,Sell
143.60524026755925,163.52834223306036,Sell
187.04872239544625,162.2509201309183,Buy
160.2258426253863,186.39770389076463,Sell
177.0154839313775,177.7122622325647,Sell
170.56010628036972,154.2723398322462,Sell
171.1231037460644,132.47614370829496,Buy
175.35322291112516,171.49213430422404,Buy
176.18380517196692,171.18631824114962,Sell
171.74946521491387,159.08773766892924,Sell
172.75106046632544,164.21498016897306,Sell
156.4525771580524,182.01639590977686,Buy
167.1712883712262,156.68485388736673,Sell
170.5891731050304,194.30926768783496,Sell
162.6459597114091,169.77559807983164,Buy
153.88063144504008,156.98686649885235,Sell
168.32455423776483,187.4388450675219,Buy
178.08430450284476,156.75019730576338,Buy
176.73719074305464,173.44918645446583,Sell
194.3164006282491,163.36459298877207,Buy
188.27405034904922,175.37321455881064,Sell
182.6046881649973,169.75796937650574,Sell
154.73628227296297,202.11723867554605,Sell
182.97736962205443,196.08594563301298,Buy
182.27083267504926,186.52904041275588,Buy
146.43649600775092,179.01135354650904,Sell
161.34900093828907,187.27000739522762,Sell
175.74556159077764,179.09511713985535,Buy
166.720976189072,131.1124751844984,Buy
170.3293807633541,188.68854458121893,Buy
165.7602117715074,168.61428555263603,Buy
178.10876286156557,184.49873507045496,Buy
162.58478623008966,190.78767607528184,Sell
194.66577990913953,176.68927198491775,Buy
166.96560890040016,166.4223580677065,Sell
186.49526023287015,160.6670834322921,Sell
149.64548907451012,200.71401689950414,Sell
178.26983402103068,183.15901093723926,Buy
155.36194993178736,212.18393325548493,Buy
177.54565274623732,188.02502861513224,Sell
151.51211741584217,200.85265330022042,Buy
163.95252843725206,189.99231966755846,Buy
182.42599687158048,177.10477879193132,Buy
169.09160363977048,180.74922058990447,Buy
156.57838629881294,162.69473305692588,Sell
178.13065844264517,163.17831309311893,Buy
191.23195647952028,184.38323867714286,Buy
169.5904885025433,154.42636684578994,Sell
164.9491519899167,168.6079179164303,Sell
180.4221301210221,191.48909146427695,Buy
167.94892084737972,169.64665533268084,Buy
185.27317379323185,181.5046408203216,Sell
189.60262572288778,198.1390872029763,Sell
168.40869769735377,184.94804309534436,Sell
172.35961065399718,174.65257436618336,Sell
172.73734711466733,183.0613657836568,Buy
163.55460012824412,189.56716774301364,Buy
171.3292038973528,192.76244289136255,Buy
174.4236094949931,194.81376539265256,Sell
159.54352894018555,175.88706965963016,Sell
167.657653226745,155.37779956415187,Sell
180.38040308299867,186.22668780016127,Buy
156.78392931809537,156.45919372993225,Buy
195.04983463593507,172.80626089672722,Sell
167.70435252986047,179.60977636318745,Buy
179.1408152605532,172.63658372910734,Buy
149.15847699487242,190.09820056252838,Buy
165.66152975842263,184.55837697267074,Buy
175.0976052595698,176.16468749920116,Buy
189.14650624734503,166.09245531415937,Sell
181.56013132318824,160.03761605293138,Buy
188.39750266184694,176.2615284164948,Buy
177.3477147848666,155.73817533005814,Buy
169.17157842177966,147.35500236774354,Sell
191.5881104422639,168.58750857503324,Sell
167.02375867884416,184.21400178086722,Buy
180.25898741092482,174.54225496215565,Sell
177.20498148035864,169.4226783612095,Sell
161.67819965643238,199.62496035750024,Sell
166.16764843472552,160.7749923470871,Sell
182.78803718176925,189.00454332260674,Buy
173.80749607419014,198.73594515128985,Buy
147.98039391383202,172.26970596879823,Buy
167.85892129183824,168.5096424269108,Buy
174.47233387038906,166.17102647428007,Buy
173.69783454620534,142.7481819628111,Sell
154.6112716765225,169.48091782467344,Buy
185.37967673230838,153.93376195782784,Sell
164.979952922884,171.53875493357936,Sell
179.53358272171164,174.9547641609918,Sell
179.36074092740057,173.59286510463645,Buy
183.91653756250116,179.6185852488835,Sell
169.58846535737095,176.16702738929686,Sell
161.5300845160473,178.31487948043912,Sell
182.26992993229155,183.73489491476607,Sell
175.28366900688232,176.33204784640043,Buy
176.64706763654485,184.06108073813976,Buy
181.50908220061396,167.04216160456605,Buy
161.53583372031642,146.6146857261654,Buy
190.6198789181161,168.33970636671467,Sell
158.0926022894324,183.2530852054528,Buy
161.3422788097432,172.5309029761932,Sell
168.53613490127805,174.33554261190204,Buy
152.78884081393133,159.0666481361954,Buy
168.69270338771773,149.89490078735597,Sell
165.45409676201723,179.18094839359955,Buy
155.64481844972087,189.37194939414573,Buy
163.59078923579324,164.854159565647,Sell
185.55610725015129,168.45738627391563,Sell
161.19504107937888,186.81266069766494,Buy
175.9312718848463,191.81904845082772,Sell
163.6997379325719,168.69560226538425,Sell
149.60650439710952,156.664499089976,Sell
